,date,open,high,low,close,volume,trades,average
211,20200221,77.56,77.96,76.15,76.44,113017,50829,76.716
212,20200224,73.38,74.05,72.44,72.53,171331,79906,73.0345
213,20200225,72.63,73.21,69.0,69.43,216614,113057,70.62
214,20200226,70.02,70.61,68.16,68.18,208433,105980,69.354
215,20200227,66.1,66.89,64.4,64.45,289591,147024,65.8725
216,20200228,62.0,64.45,61.34,63.46,337017,194078,62.7445
217,20200302,63.85,67.61,63.12,67.59,221552,131029,65.2875
218,20200303,67.86,68.43,64.47,65.05,240398,152277,65.9875
219,20200304,66.05,67.52,64.36,67.39,193143,99648,65.6855
220,20200305,64.79,65.12,63.01,63.49,218961,118323,64.1905
221,20200306,60.46,62.31,59.74,61.28,230384,122020,60.881
222,20200309,54.31,55.61,51.0,51.37,293622,130516,53.029
223,20200310,54.73,55.7,51.5,55.58,268931,133301,53.5085
224,20200311,53.95,54.33,50.02,50.79,319979,162354,51.959
225,20200312,45.3,49.0,42.82,43.26,388520,175403,44.4635
226,20200313,47.51,51.24,45.31,51.04,335273,158095,47.241
227,20200316,40.3,45.23,39.57,41.19,279549,130422,42.3355
228,20200317,42.0,43.98,38.8,40.25,431734,194931,40.5425
229,20200318,37.06,37.99,32.0,36.43,408595,184157,35.035
230,20200319,35.47,41.24,34.2,39.64,366518,166836,38.422
231,20200320,40.46,40.99,37.2,38.06,296129,146774,39.1185
232,20200323,37.55,38.15,34.62,35.39,281296,139892,35.8195
233,20200324,37.64,40.92,37.34,40.66,285768,134576,39.269
234,20200325,42.31,44.7,39.43,41.86,298565,140952,42.5305
235,20200326,43.68,46.29,43.0,46.02,257828,126548,45.2145
236,20200327,44.13,45.5,43.0,43.8,203853,103433,44.246
237,20200330,44.05,44.26,41.57,44.08,228388,109869,43.0845
238,20200331,43.63,44.23,41.65,42.12,196213,95926,43.0345
239,20200401,39.14,40.25,38.0,38.51,241733,112605,38.951
240,20200402,38.36,39.66,37.3,39.23,245663,108340,38.5215
241,20200403,39.0,39.46,36.67,37.49,219420,93697,37.674
242,20200406,39.8,41.34,39.51,41.12,260173,117899,40.5185
243,20200407,44.81,45.59,41.12,41.25,294398,126548,43.206
244,20200408,42.85,44.45,41.96,44.26,256905,121018,43.388
245,20200409,46.94,49.22,46.36,47.41,383201,173252,47.791
246,20200413,47.5,47.57,45.27,46.68,232553,109978,46.5005
247,20200414,47.71,47.74,43.52,45.42,353287,149567,45.136
248,20200415,43.37,44.27,42.61,42.86,270858,122249,43.4255
249,20200416,42.71,42.84,40.1,40.52,318140,129929,40.899
250,20200417,43.15,44.66,42.65,44.23,238846,97222,43.7545
